Date updated:,05-Jan-25,,,,,,YouTube Video explaining estimation choices and process.,Notes,,
Created by:,"Aswath Damodaran, adamodar@stern.nyu.edu",,,,,,,"Pricing ratios (or multiples) can be used to price companies, with the end game of determining whether they are under or over priced.",,
What is this data?,Price Earnings multiples,,,,US companies,,,,,
Home Page:,http://www.damodaran.com,,,,,,,,,
Data website:,https://pages.stern.nyu.edu/~adamodar/New_Home_Page/data.html,,,,,,,,,
Companies in each industry:,https://pages.stern.nyu.edu/~adamodar/pc/datasets/indname.xls,,,,,,,,,
Variable definitions:,https://pages.stern.nyu.edu/~adamodar/New_Home_Page/datafile/variable.htm,,,,,,,,,
Industry Name,Number of firms,% of Money Losing firms (Trailing),Current PE,Trailing PE,Forward PE,Aggregate Mkt Cap/ Net Income (all firms),Aggregate Mkt Cap/ Trailing Net Income (only money making firms),Expected growth - next 5 years,PEG Ratio,
Advertising,54,77.78%,514.37,291.27,73.71,46.88,34.73,22.98%,1.51,
Aerospace/Defense,67,43.28%,39.16,87.42,35.07,37.85,28.52,19.02%,1.50,
Air Transport,24,70.83%,28.72,17.98,12.44,19.62,11.47,35.25%,0.33,
Apparel,37,62.16%,18.53,28.05,21.85,33.28,17.67,5.95%,2.97,
Auto & Truck,34,82.35%,31.42,27.28,29.80,72.33,49.91,10.41%,4.80,
Auto Parts,33,45.45%,20.81,24.80,14.28,31.92,13.35,15.29%,0.87,
Bank (Money Center),15,13.33%,20.06,28.04,14.03,12.31,13.49,11.92%,1.13,
Banks (Regional),591,16.92%,31.42,18.41,13.53,15.62,13.78,6.50%,2.12,
Beverage (Alcoholic),18,61.11%,24.63,44.43,16.60,19.51,27.38,11.17%,2.45,
Beverage (Soft),29,62.07%,34.72,25.67,24.69,24.89,24.54,11.26%,2.18,
Broadcasting,22,59.09%,11.50,45.02,10.10,NA,9.31,192.49%,0.05,
Brokerage & Investment Banking,30,33.33%,35.16,29.87,20.64,25.94,19.88,15.37%,1.29,
Building Materials,39,20.51%,24.01,22.98,19.56,22.87,18.95,11.54%,1.64,
Business & Consumer Services,152,48.68%,34.71,49.99,26.81,47.15,30.70,13.83%,2.22,
Cable TV,9,55.56%,11.94,10.74,74.67,10.95,10.07,0.15%,66.42,
Chemical (Basic),31,54.84%,15.75,25.81,14.53,30.37,19.40,7.62%,2.55,
Chemical (Diversified),4,75.00%,25.18,33.22,21.36,NA,33.22,39.10%,0.85,
Chemical (Specialty),60,46.67%,26.63,43.86,23.69,27.54,22.09,10.42%,2.12,
Coal & Related Energy,16,81.25%,8.41,8.93,115.99,8.50,6.63,NA,NA,
Computer Services,63,58.73%,436.84,56.19,18.96,25.83,25.61,19.93%,1.29,
Computers/Peripherals,35,60.00%,103.78,610.15,14.86,38.32,37.75,11.48%,3.29,
Construction Supplies,46,41.30%,30.70,18.97,17.45,21.03,17.27,11.01%,1.57,
Diversified,21,76.19%,9.87,13.03,20.45,12.76,10.22,5.44%,1.88,
Drugs (Biotechnology),535,93.46%,53.23,84.99,33.16,NA,35.60,17.95%,1.98,
Drugs (Pharmaceutical),231,87.45%,129.64,20.88,18.72,39.45,31.81,12.21%,2.61,
Education,29,48.28%,82.61,33.92,24.96,51.63,28.30,16.88%,1.68,
Electrical Equipment,101,73.27%,32.32,55.43,23.99,625.03,37.44,13.30%,2.82,
Electronics (Consumer & Office),11,100.00%,11.54,NA,25.09,NA,NA,22.50%,NA,
Electronics (General),122,60.66%,38.47,74.94,27.01,43.95,29.66,15.89%,1.87,
Engineering/Construction,42,42.86%,39.65,44.73,26.72,48.04,36.03,16.82%,2.14,
Entertainment,96,83.33%,83.01,84.24,46.36,620.15,45.04,14.53%,3.10,
Environmental & Waste Services,50,68.00%,65.55,86.59,89.56,40.22,32.86,12.88%,2.55,
Farming/Agriculture,35,62.86%,18.71,35.00,47.40,11.99,15.59,7.54%,2.07,
Financial Svcs. (Non-bank & Insurance),166,37.35%,92.01,30.21,22.29,26.11,21.37,16.14%,1.32,
Food Processing,77,58.44%,23.97,27.67,22.81,20.14,21.09,10.36%,2.04,
Food Wholesalers,14,35.71%,22.70,29.30,17.88,24.25,22.25,19.09%,1.17,
Furn/Home Furnishings,28,53.57%,21.92,30.85,17.68,120.77,19.30,11.57%,1.67,
Green & Renewable Energy,18,77.78%,36.33,25.51,22.20,NA,27.78,0.27%,104.17,
Healthcare Products,218,77.52%,47.00,45.25,36.38,51.60,37.20,11.51%,3.23,
Healthcare Support Services,113,65.49%,78.23,38.83,31.61,20.57,23.22,9.67%,2.40,
Heathcare Information and Technology,116,79.31%,44.42,54.47,30.56,60.61,36.08,12.58%,2.87,
Homebuilding,30,20.00%,10.22,10.85,10.40,9.87,9.59,13.42%,0.72,
Hospitals/Healthcare Facilities,33,63.64%,23.11,19.90,21.65,18.83,11.25,17.16%,0.66,
Hotel/Gaming,65,50.77%,59.32,33.74,28.76,30.58,26.17,56.71%,0.46,
